Method	Sequence #	Result 	Time in nanoseconds 
i 	0 		0 		1800
i 	1 		1 		400
i 	2 		1 		300
i 	3 		2 		300
i 	4 		3 		300
i 	5 		5 		300
i 	6 		8 		300
i 	7 		13 		300
i 	8 		21 		300
i 	9 		34 		300
i 	10 		55 		400
i 	11 		89 		300
i 	12 		144 		400
i 	13 		233 		400
i 	14 		377 		400
i 	15 		610 		400
i 	16 		987 		400
i 	17 		1597 		400
i 	18 		2584 		400
i 	19 		4181 		400
i 	20 		6765 		400
i 	21 		10946 		500
i 	22 		17711 		500
i 	23 		28657 		500
i 	24 		46368 		500
i 	25 		75025 		400
i 	26 		121393 		500
i 	27 		196418 		900
i 	28 		317811 		600
i 	29 		514229 		700
i 	30 		832040 		600
r 	0 		0 		2600
r 	1 		1 		200
r 	2 		1 		200
r 	3 		2 		300
r 	4 		3 		400
r 	5 		5 		500
r 	6 		8 		700
r 	7 		13 		900
r 	8 		21 		1300
r 	9 		34 		2500
r 	10 		55 		3600
r 	11 		89 		8800
r 	12 		144 		12100
r 	13 		233 		14500
r 	14 		377 		22400
r 	15 		610 		35600
r 	16 		987 		58000
r 	17 		1597 		91900
r 	18 		2584 		49700
r 	19 		4181 		33200
r 	20 		6765 		52600
r 	21 		10946 		84000
r 	22 		17711 		135200
r 	23 		28657 		240400
r 	24 		46368 		115100
r 	25 		75025 		180900
r 	26 		121393 		292200
r 	27 		196418 		480200
r 	28 		317811 		695000
r 	29 		514229 		1155000
r 	30 		832040 		2010000
